id,pool_id,dc_id,power,lifespan,hdd_quantity,hdd_unit_size,ssd_quantity,ssd_unit_size,ram_quantity,ram_unit_size,gpu_quantity,gpu_model_name,fan_quantity,psu_total_weight,load_rate,comment,quantity
worker-0,worker,fr01,59.825867979096834,1,,,,,56.199767726638555,GB,,,,,,,1
worker-1,worker,fr01,59.25236860619445,1,,,,,34.43012913301541,GB,,,,,,,1
worker-2,worker,fr01,55.80986498213258,1,,,,,56.38154606767293,GB,,,,,,,1
worker-3,worker,fr01,66.92899377059852,1,,,,,59.08941133693948,GB,,,,,,,1
worker-4,worker,fr01,59.1974795391443,1,,,,,33.229331345705646,GB,,,,,,,1
worker-5,worker,fr01,53.856303272814046,1,,,,,62.35347278689538,GB,,,,,,,1
worker-6,worker,fr01,65.13318162760945,1,,,,,56.54956619422863,GB,,,,,,,1
worker-7,worker,fr01,68.4733005434621,1,,,,,49.51719178421037,GB,,,,,,,1
worker-8,worker,fr01,58.203675507902275,1,,,,,39.81997896994491,GB,,,,,,,1
worker-9,worker,fr01,61.4731353740744,1,,,,,58.049065377373466,GB,,,,,,,1
worker-10,worker,fr01,56.65897463109104,1,,,,,48.57019585172816,GB,,,,,,,1
worker-11,worker,fr01,55.989421643215,1,,,,,57.22578751464505,GB,,,,,,,1
worker-12,worker,fr01,62.43024014952007,1,,,,,53.5037850406829,GB,,,,,,,1
worker-13,worker,fr01,65.58425865671681,1,,,,,55.365243083479136,GB,,,,,,,1
worker-14,worker,fr01,58.45958516316587,1,,,,,45.971742012764764,GB,,,,,,,1
worker-15,worker,fr01,53.34173728752188,1,,,,,37.16935341059387,GB,,,,,,,1
worker-16,worker,fr01,56.67404197551087,1,,,,,48.97829311540242,GB,,,,,,,1
worker-17,worker,fr01,59.3901325362487,1,,,,,33.418557607933366,GB,,,,,,,1
worker-18,worker,fr01,65.84592448025383,1,,,,,31.675131461067174,GB,,,,,,,1
worker-19,worker,fr01,55.929473909705116,1,,,,,37.39441050533448,GB,,,,,,,1
worker-20,worker,fr01,69.24486487546763,1,,,,,42.618583085776905,GB,,,,,,,1
worker-21,worker,fr01,68.85965492568526,1,,,,,31.289445264568702,GB,,,,,,,1
worker-22,worker,fr01,56.255602103334354,1,,,,,48.417818680602494,GB,,,,,,,1
worker-23,worker,fr01,53.65385416306204,1,,,,,59.88749415421404,GB,,,,,,,1
worker-24,worker,fr01,54.92705964961375,1,,,,,47.628230605610014,GB,,,,,,,1
worker-25,worker,fr01,56.239331054903765,1,,,,,54.37212979413976,GB,,,,,,,1
worker-26,worker,fr01,66.67319227721386,1,,,,,35.08317065571546,GB,,,,,,,1
worker-27,worker,fr01,58.52477331822745,1,,,,,35.68100238668769,GB,,,,,,,1
worker-28,worker,fr01,63.68826512165103,1,,,,,53.785335227800545,GB,,,,,,,1
worker-29,worker,fr01,55.9523139201449,1,,,,,50.332901803620246,GB,,,,,,,1
worker-30,worker,fr01,65.9165797757433,1,,,,,54.87421390920787,GB,,,,,,,1
worker-31,worker,fr01,52.23736398410803,1,,,,,55.17481384621601,GB,,,,,,,1
