hw_id,lc_step,ADPe,ADPf,AP,CTUe,CTUh_c,CTUh_nc,Epf,Epm,Ept,GWP,GWPf,GWPlu,IR,LU,ODP,PM,POCP,WU,TPE,GWPb
worker-0,manufacturing,36.761652996269135,72.63588059965026,32.91963229107285,63.60762732706342,90.11015740583915,50.64891553648408,26.787064232104242,39.66057248175707,6.0490981946186295,45.32549250675258,86.94825589028136,23.434319381525526,59.093517278445894,16.141532965134754,43.895285983818844,52.610441624048754,62.552513512530915,73.22179560317963,1.2651280567277379,35.85382470429097
worker-1,manufacturing,64.12102287437614,30.504756251449095,37.07426136151872,90.26609753883317,97.0636853029726,59.31787746639255,41.770553090054655,2.786212479464023,76.21674106282813,14.542729193937697,95.05931950879251,50.75590192302701,65.23868399151579,75.29034533364234,73.98418771998074,58.44333986641798,34.155792534436976,49.0616419314202,77.07975817912777,60.369858804550525
worker-2,manufacturing,60.01573368455889,68.04329056440702,30.61270527266162,23.02272209539311,15.941548528669125,60.21346235976514,30.697728217042332,49.87382592180847,71.24097640375577,56.561081005861254,39.68771340114456,72.55201756601278,50.20141870732395,24.086315225614584,32.91820843034549,44.5767991327478,61.21267715388321,13.426857429376703,60.81599478754981,18.938880694435944
worker-3,manufacturing,71.90271480150662,31.24498362098701,37.919115558844375,84.63072987461135,22.613222238888152,26.9527739983375,87.1665244678891,82.56355309673098,44.303347031178795,85.05727435329274,23.980482531596635,79.71866930609077,76.21087490743578,42.80146120376973,50.965928371231136,65.63551431116841,12.165064829149774,4.426363182947091,89.25955937443993,77.40043646712246
worker-4,manufacturing,7.314788199372979,21.923043928303933,89.37385388309767,70.33750255113404,16.669338887781038,78.50136522846442,54.75880605977388,37.219503744618585,12.540585263016501,11.22896899654673,27.323057183054267,37.92319438147447,52.14801350355324,73.76127450094776,14.46883133224629,93.79144391089011,13.998760309014191,69.02118301385826,87.31211810348894,65.22239467076845
worker-5,manufacturing,55.052302080432945,15.818780134817523,71.64285487942632,56.90221220727697,41.38579954008418,2.2682627690520762,54.28097881266321,43.49586050475377,31.759271243845568,25.087237234494676,31.23232123694917,35.330326808509994,75.22412816422138,93.44731105334452,0.5700826643143531,30.975184689846714,5.7632713757276965,19.670073684211665,22.85458909144864,96.68329424145128
worker-6,manufacturing,35.56675299043073,91.63489751238608,37.06477452692356,54.463445205262595,67.72009137055409,86.45268748645219,24.902159246772328,55.54972186077743,35.27167930320256,33.220724071978445,18.381467192196933,22.629185756175264,60.00437807481123,2.918233416504057,22.02229290683082,24.52929416147637,5.367997656703649,4.564082196693264,98.7685249264913,52.849416295741456
worker-7,manufacturing,68.28402364930704,40.80361874862264,21.369555831618126,79.93086002626669,91.58206656332034,95.9632304492465,68.01520915717231,68.27282299102782,9.842017987648866,78.75359076020032,15.177245351228564,93.24279266891877,21.746091797398947,86.75534173700238,82.09092491839117,78.91412980642862,53.5444787061281,96.43495625807654,49.00530922541688,7.689849174528051
worker-8,manufacturing,8.735169485925386,0.8692839936845442,11.655113650012394,49.808566446877876,63.73659384378102,40.42948018856748,70.6483415042263,6.276330209608039,34.19195978924433,92.03731423089712,48.25874141039894,31.1859076372617,98.34083751630742,87.75571377547276,10.271756381034736,43.46318747646292,82.89389874305802,10.067949782787444,32.79882994919936,48.419150294160374
worker-9,manufacturing,60.18897700405862,94.03422772935367,27.20734939876104,6.210696410804683,23.61300589075085,75.27290228263112,3.813621015328106,7.326442321776405,37.94739029160722,94.07328831697758,45.27216971853763,70.1038258751496,58.24002788485525,80.16960109191882,98.34910129175466,92.87982083725677,18.12146370477905,6.177180977570473,13.900785892269207,28.929612490658695
